,tweet_id,favorite_count,retweet_count
1632,683828599284170753,2961,1144
1633,683773439333797890,3539,1464
1634,683742671509258241,6885,3597
1635,683515932363329536,7795,3141
1636,683498322573824003,3353,1036
1637,683481228088049664,2786,1073
1638,683462770029932544,2579,722
1639,683449695444799489,4123,1738
1640,683391852557561860,8054,2580
1641,683357973142474752,3104,1015
1642,683142553609318400,3049,1122
1643,683111407806746624,3595,985
1644,683098815881154561,2294,712
1645,683078886620553216,2093,606
1646,683030066213818368,2277,791
1647,682962037429899265,39108,18047
1648,682808988178739200,1874,194
1649,682788441537560576,2613,1211
1650,682750546109968385,1609,473
1651,682697186228989953,1389,387
1652,682662431982772225,3218,1166
1653,682638830361513985,2168,648
1654,682429480204398592,3627,1256
1655,682406705142087680,8021,1904
1656,682393905736888321,2362,741
1657,682389078323662849,1765,504
1658,682303737705140231,3258,1078
1659,682259524040966145,4409,1315
1660,682242692827447297,3438,1279
1661,682088079302213632,19360,10697
1662,682059653698686977,5249,1831
1663,682047327939461121,3396,1043
1664,682032003584274432,6952,2171
1665,682003177596559360,3330,1652
1666,681981167097122816,2939,1112
1667,681891461017812993,2609,893
1668,681694085539872773,13492,4370
1669,681679526984871937,1859,482
1670,681654059175129088,2792,1001
1671,681610798867845120,2017,511
1672,681579835668455424,3745,1411
1673,681523177663676416,15129,6288
1674,681340665377193984,1733,302
1675,681339448655802368,9819,4387
1676,681320187870711809,2803,820
1677,681302363064414209,4176,1980
1678,681297372102656000,3371,1032
1679,681281657291280384,3401,1190
1680,681261549936340994,1538,297
1681,681242418453299201,1585,585
1682,681231109724700672,2530,521
1683,681193455364796417,3923,1612
1684,680970795137544192,2564,719
1685,680959110691590145,4812,2154
1686,680940246314430465,3403,1140
1687,680934982542561280,2196,476
1688,680913438424612864,2527,667
1689,680889648562991104,1863,395
1690,680836378243002368,3651,1435
1691,680805554198020098,2290,715
1692,680801747103793152,2500,894
1693,680798457301471234,3020,1121
1694,680609293079592961,2781,772
1695,680583894916304897,3820,1450
1696,680497766108381184,4469,2063
1697,680494726643068929,1806,520
1698,680473011644985345,2684,805
1699,680440374763077632,1535,546
1700,680221482581123072,1535,310
1701,680206703334408192,2986,1268
1702,680191257256136705,2266,546
1703,680176173301628928,4114,1692
1704,680161097740095489,2439,792
1705,680145970311643136,3814,1878
1706,680130881361686529,2419,1023
1707,680115823365742593,2865,979
1708,680100725817409536,3768,1477
1709,680085611152338944,13494,9614
1710,680070545539371008,2710,947
1711,680055455951884288,17618,7670
1712,679877062409191424,2073,691
1713,679872969355714560,2294,714
1714,679862121895714818,2596,671
1715,679854723806179328,3021,1333
1716,679844490799091713,2498,828
1717,679828447187857408,38221,15134
1718,679777920601223168,3247,1205
1719,679736210798047232,2205,858
1720,679729593985699840,2279,884
1721,679722016581222400,1742,508
1722,679530280114372609,5024,2235
1723,679527802031484928,2787,780
1724,679511351870550016,3552,1378
1725,679503373272485890,3327,1596
1726,679475951516934144,2211,687
1727,679462823135686656,33452,20295
1728,679405845277462528,2510,1294
1729,679158373988876288,22651,8738
1730,679148763231985668,2916,1108
1731,679132435750195208,3123,1244
1732,679111216690831360,6268,2745
1733,679062614270468097,17977,8838
1734,679047485189439488,2373,734
1735,679001094530465792,2969,1327
1736,678991772295516161,2442,1267
1737,678969228704284672,1725,497
1738,678800283649069056,2706,972
1739,678798276842360832,3662,1277
1740,678774928607469569,2935,993
1741,678767140346941444,3711,1469
1742,678764513869611008,1715,514
1743,678755239630127104,7510,3559
1744,678740035362037760,3949,1833
1745,678708137298427904,5841,2615
1746,678675843183484930,3019,1595
